driverId,week,hours-logged,miles-logged
59,28,69,2100
11,34,61,2100
99,22,77,3800
32,5,73,600
48,46,76,3200
99,13,62,1900
25,52,66,2500
15,17,59,2300
14,22,75,2400
26,1,52,3100
35,30,51,3600
13,13,62,3000
72,11,61,3200
64,47,50,300
79,48,61,2100
93,31,70,2800
70,28,56,3500
84,10,71,1100
80,23,63,3800
49,16,72,2300
53,48,56,3600
71,24,65,800
101,11,60,3500
95,20,58,0
100,28,69,600
108,7,74,1400
12,33,72,1000
109,6,76,3700
106,33,52,600
43,10,58,3000
39,10,72,3300
74,33,69,100
20,11,78,2800
17,24,76,0
11,21,57,3300
20,7,70,600
79,37,74,3100
79,45,63,3200
52,14,65,3200
105,10,76,2200
81,28,69,500
27,46,60,2100
89,5,51,600
75,7,59,1000
89,37,67,100
34,39,75,3700
100,44,57,600
63,16,60,2400
78,35,55,1100
23,37,71,2600
92,7,70,3800
37,26,71,3000
42,15,68,1700
70,35,73,1500
105,26,63,1900
83,40,55,1700
50,31,54,900
78,24,79,2800
23,5,64,1900
22,1,57,0
63,14,63,200
63,29,79,2500
67,30,62,800
28,3,53,2500
61,18,59,1900
66,33,79,100
35,34,65,2500
22,23,64,3300
26,26,62,1600
36,5,55,3800
93,23,60,1700
105,44,73,1000
67,38,78,2500
48,12,79,700
98,23,63,300
82,26,61,200
83,36,78,3000
53,5,68,100
88,49,72,3600
104,44,79,500
93,2,77,2500
66,28,78,1800
32,22,50,3900
74,35,66,900
67,26,79,1400
19,23,50,1400
38,39,63,100
11,44,76,100
36,5,76,2600
16,13,72,0
60,7,79,1100
93,50,53,3700
82,26,70,1400
62,52,62,700
34,7,79,3800
36,17,56,3600
93,44,69,0
27,42,58,100
50,31,65,600
59,2,73,2700
81,23,62,2200
18,11,54,1800
53,32,60,1700
42,24,67,1200
99,34,60,3900
27,25,54,1000
84,13,54,2300
74,25,64,2500
78,47,64,600
95,18,61,2900
29,19,52,3100
88,6,63,1900
11,51,73,1900
17,12,57,1900
69,40,59,3700
109,49,52,1800
28,17,70,2300
95,20,75,3000
51,49,72,400
42,37,77,700
68,48,51,600
90,42,71,400
66,32,59,1800
49,22,61,1900
83,43,70,1500
96,11,56,300
60,43,80,2500
45,50,67,3800
51,17,55,1100
88,43,59,3800
39,28,69,800
26,42,56,4000
99,33,50,3100
10,31,54,800
59,18,73,2300
55,27,52,1200
26,50,66,2600
46,27,53,3400
43,9,61,300
39,7,57,2200
82,52,50,1400
87,14,52,600
109,43,58,2200
83,22,56,800
42,50,58,1300
31,40,50,300
33,46,53,2600
82,22,80,2500
95,46,64,900
87,43,70,2800
15,49,56,200
72,38,77,1100
76,39,55,2000
60,1,62,1900
59,2,76,1200
68,22,71,3800
89,10,80,500
27,51,55,900
29,44,73,1800
107,12,66,2600
77,10,61,500
81,13,77,2100
